_id,geoid,year,Total Population 5 years and over,Income below poverty level,Income below poverty level - Male,Income below poverty level - Male - Under 5 years,Income below poverty level - Male - 5 years,Income below poverty level - Male - 6 to 11 years,Income below poverty level - Male - 12 to 14 years,Income below poverty level - Male - 15 years,Income below poverty level - Male - 16 and 17 years,Income below poverty level - Male - 18 to 24 years,Income below poverty level - Male - 25 to 34 years,Income below poverty level - Male - 35 to 44 years,Income below poverty level - Male - 45 to 54 years,Income below poverty level - Male - 55 to 64 years,Income below poverty level - Male - 65 to 74 years,Income below poverty level - Male - 75 years and over,Income below poverty level - Female,Income below poverty level - Female - Under 5 years,Income below poverty level - Female - 5 years,Income below poverty level - Female - 6 to 11 years,Income below poverty level - Female - 12 to 14 years,Income below poverty level - Female - 15 years,Income below poverty level - Female - 16 and 17 years,Income below poverty level - Female - 18 to 24 years,Income below poverty level - Female - 25 to 34 years,Income below poverty level - Female - 35 to 44 years,Income below poverty level - Female - 45 to 54 years,Income below poverty level - Female - 55 to 64 years,Income below poverty level - Female - 65 to 74 years,Income below poverty level - Female - 75 years and over,Income at or above poverty level,Income at or above poverty level - Male,Income at or above poverty level - Male - Under 5 years,Income at or above poverty level - Male - 5 years,Income at or above poverty level - Male - 6 to 11 years,Income at or above poverty level - Male - 12 to 14 years,Income at or above poverty level - Male - 15 years,Income at or above poverty level - Male - 16 and 17 years,Income at or above poverty level - Male - 18 to 24 years,Income at or above poverty level - Male - 25 to 34 years,Income at or above poverty level - Male - 35 to 44 years,Income at or above poverty level - Male - 45 to 54 years,Income at or above poverty level - Male - 55 to 64 years,Income at or above poverty level - Male - 65 to 74 years,Income at or above poverty level - Male - 75 years and over,Income at or above poverty level - Female,Income at or above poverty level - Female - Under 5 years,Income at or above poverty level - Female - 5 years,Income at or above poverty level - Female - 6 to 11 years,Income at or above poverty level - Female - 12 to 14 years,Income at or above poverty level - Female - 15 years,Income at or above poverty level - Female - 16 and 17 years,Income at or above poverty level - Female - 18 to 24 years,Income at or above poverty level - Female - 25 to 34 years,Income at or above poverty level - Female - 35 to 44 years,Income at or above poverty level - Female - 45 to 54 years,Income at or above poverty level - Female - 55 to 64 years,Income at or above poverty level - Female - 65 to 74 years,Income at or above poverty level - Female - 75 years and over
1,16000US0455000,2008,1509903,285957,136103,19329,4177,18858,7175,2673,5022,13762,21558,17336,12602,9440,2810,1361,149854,24800,3564,17502,7510,2257,5583,15800,28571,18856,11316,6552,3451,4092,1223946,636294,47517,10218,50452,27596,9724,17679,59832,114681,101989,92271,59996,26602,17737,587652,46632,8560,51089,23349,8585,13591,47133,88283,88037,90401,62174,30770,29048
2,16000US0455000,2009,1576661,331893,163961,24812,4514,23061,9086,1999,6312,18089,25098,22984,14284,10064,2559,1099,167932,25040,4385,23387,7449,3844,7421,18579,28352,20276,14488,8114,3058,3539,1244768,648683,52992,11302,45351,26218,9912,18832,57172,125406,102044,91778,59250,27455,20971,596085,45560,9287,51186,25732,8295,13506,50357,97595,87178,84139,63832,30139,29279
3,16000US0455000,2010,1430852,321560,157292,21298,3815,21654,12497,2445,5293,19331,22435,20416,14685,7990,3433,2000,164268,17866,3053,19792,9876,2125,4895,22187,28835,22434,15914,9150,4066,4075,1109292,560991,37166,8039,47163,24299,6771,17593,54666,93651,83850,76507,60277,30923,20086,548301,34664,7720,44875,23103,7808,13638,48988,84074,79670,80161,62767,35400,25433
4,16000US0455000,2011,1450915,332662,162724,23382,3513,22366,10623,2710,7124,22044,21043,17645,15622,9709,4629,2314,169938,17748,2855,19945,8210,3941,5691,23323,26149,23905,18537,10448,4682,4504,1118253,565454,38498,6509,42984,24352,8223,17842,58232,87094,87966,82819,63881,28538,18516,552799,34788,8427,42526,21864,9530,14937,49715,82200,80622,83230,63876,33358,27726
5,16000US0455000,2012,1472974,354862,165894,22730,4441,25526,9530,3424,5570,21172,22749,18355,14884,11335,3844,2334,188968,21442,4923,25145,10842,3216,6367,24826,27308,27387,18399,11309,4422,3382,1118112,567369,36140,8947,43028,20141,7576,15475,58207,94541,87781,80946,61040,32930,20617,550743,34649,7164,40422,19870,7410,14068,50467,82135,81463,81103,64723,38677,28592
6,16000US0455000,2013,1497409,353303,163356,20379,4381,23106,10691,3462,6479,21074,23081,19633,15679,11099,2868,1424,189947,18009,4102,25283,11380,2916,7004,24084,30292,26203,19304,11823,5872,3675,1144106,581029,36161,7224,45181,25511,6420,14383,60563,99735,81638,85566,63953,34698,19996,563077,34553,8565,39790,22187,7627,13259,52821,88800,77684,82036,67990,40701,27064
7,16000US0455000,2014,1516728,353692,168375,21127,4380,24733,11084,3742,6200,18312,22983,20365,14219,14300,4576,2354,185317,19271,4782,24719,9904,2982,4400,23980,27522,27257,17128,12041,7282,4049,1163036,581842,36269,6509,44247,21125,8351,15018,55330,98819,86743,85498,63143,38324,22466,581194,36760,7426,45087,22316,8761,16373,53179,90266,80884,84029,66799,41999,27315
8,16000US0455000,2015,1545360,344455,158414,18302,2260,25596,10948,3197,5955,20663,18583,19776,13362,14002,3668,2102,186041,18396,3942,22738,11026,1553,7671,22725,29608,27389,16848,12839,6199,5107,1200905,615945,41400,7360,49343,23711,7358,16558,58042,102875,91856,85969,67481,39971,24021,584960,33340,5822,43597,20215,8037,15811,52901,90230,82798,83541,70015,45647,33006
9,16000US0455000,2016,1595696,324498,146953,18042,3055,23449,8556,4069,6424,15308,18272,16354,14462,10532,6434,1996,177545,18499,2665,24038,10902,4859,6496,18907,26561,22200,16590,12921,6849,6058,1271198,643887,44297,6965,53623,23847,10109,16237,65888,106462,95275,84720,70851,41455,24158,627311,39653,8947,46200,23128,6814,17653,56468,97178,87344,88848,76059,47562,31457
10,16000US0455000,2017,1604181,268855,125780,13414,1600,18686,9615,2571,5829,15501,13805,13465,12773,9872,5054,3595,143075,15323,3950,16801,7046,2337,5176,15322,21448,19981,13822,11816,5337,4716,1335326,671516,44418,7725,52111,27510,7503,19577,62476,112340,96539,94188,78566,44741,23822,663810,43072,8544,50628,29103,8438,15798,62918,105651,91055,85953,77420,50259,34971
11,16000US0455000,2018,1641772,255923,113898,13728,2738,16878,7159,1712,4159,11361,14421,12571,10565,10597,4912,3097,142025,16659,2746,17039,9033,2394,6284,12918,22156,18380,13027,11600,4936,4853,1385849,699310,44677,7482,54631,31156,9740,19153,69181,124065,97562,94408,74914,44419,27922,686539,41117,8047,50454,26078,8194,20235,61725,116442,92706,95216,79662,52296,34367
12,16000US0455000,2019,1662133,258625,118129,13057,2793,16389,7184,2192,4594,14439,13468,13177,10024,13162,4810,2840,140496,14410,3557,16772,8482,1404,6117,14772,22881,17181,10996,12245,6033,5646,1403508,708563,43345,10333,53322,28051,9295,19062,65704,121680,107538,94100,79940,49474,26719,694945,42138,9131,50578,25961,9657,16510,61508,112773,96759,94356,85975,55949,33650
13,16000US0455000,2021,1602147,239428,112054,13701,2000,14023,7132,3824,4807,10247,14772,11757,11214,10269,4200,4108,127374,10288,2393,12739,9630,2550,5594,13547,21357,15033,9041,11025,7886,6291,1362719,691761,37209,6543,53256,30857,11101,19676,66792,116773,102358,91837,78192,49838,27329,670958,37157,8887,49424,27713,8838,16422,60597,108968,94787,90448,79255,55799,32663
